dishId,cluster,ingredientName
16316,0,"['牛奶', '低筋麵粉', '雞蛋', '檸檬']"
16317,2,"['花椰菜', '芹菜', '豬絞肉', '杏鮑菇', '紅蘿蔔', '紹興酒']"
16320,1,"['苦瓜', '豬絞肉']"
16321,4,"['絲瓜', '香菇', '薑', '太白粉']"
16324,1,"['雞蛋', '起司', '番茄', '洋蔥', '洋菇']"
16327,3,"['吐司', '雞蛋']"
16331,4,"['薑', '蔥', '豬五花肉', '紹興酒']"
16332,2,"['豬後腿肉', '洋蔥', '太白粉', '蒜頭', '紹興酒', '花椰菜']"
16345,4,"['蔥', '蒜頭', '筊白筍', '杏鮑菇', '雞胸肉', '香菇', '太白粉']"
16346,4,"['豬肉', '甜椒', '木耳', '太白粉']"
16348,3,"['糯米', '豬五花肉', '香菇', '蝦子']"
16350,4,"['雞蛋', '馬鈴薯', '洋蔥', '甜椒']"
16352,3,"['蝦子', '太白粉', '鳳梨', '巧克力', '雞蛋']"
16353,1,"['白蘿蔔', '香菇', '雞胸肉', '雞腿']"
16357,1,"['鱸魚', '香菜', '蒜頭', '檸檬']"
16364,1,"['白蘿蔔', '臘腸', '香菇', '蝦子', '米粉', '鰹魚片']"
16366,2,"['鱸魚', '番茄', '檸檬', '香菜', '蒜頭', '薑']"
16372,1,"['白蘿蔔', '米粉']"
16374,3,['核桃']
16376,1,"['白蘿蔔', '米粉', '香菇', '蝦子']"
16382,1,"['蝦子', '黑棗', '枸杞', '川芎', '當歸', '紹興酒']"
16395,0,"['年糕', '低筋麵粉', '雞蛋']"
16409,1,"['蝦子', '甜豆', '薑', '紹興酒']"
16418,2,"['透抽', '紅蘿蔔', '小黃瓜', '薑']"
16421,4,"['豬肉', '紅蘿蔔', '牛蒡', '蒟蒻']"
16424,4,"['雞蛋', '豬絞肉', '荸薺', '韭黃', '蔥', '太白粉']"
16429,2,"['甜椒', '香菜', '檸檬', '里肌肉', '蒜頭', '米', '柚子', '太白粉']"
16430,1,"['芹菜', '透抽']"
16466,2,"['鴨肉', '西洋芹', '香菜', '雞蛋', '中筋麵粉', '九層塔', '紹興酒']"
16469,2,"['芹菜', '薑', '蒜頭', '豬肉', '豆干']"
16486,2,"['雞蛋', '白飯', '海苔', '紅蘿蔔', '花椰菜']"
16496,0,"['中筋麵粉', '泡打粉', '鮮奶油']"
16497,2,"['雞蛋', '玉米', '花椰菜', '米', '海苔', '蒜頭', '地瓜', '玉米粉', '雞胸肉']"
16502,4,"['牛小排', '洋蔥', '蒜頭', '杏鮑菇', '太白粉']"
16506,4,"['白蘿蔔', '蔥', '薑', '豬五花肉']"
16508,4,"['大白菜', '蔥', '蒜頭', '香菇', '豬肉', '蝦子', '太白粉']"
16528,0,"['牛奶', '巧克力', '雞蛋', '低筋麵粉', '檸檬']"
16545,4,"['番茄', '雞蛋', '豬絞肉', '洋蔥', '起司', '蔥', '紹興酒']"
16556,4,"['鱸魚', '洋蔥', '番茄', '地瓜']"
16557,1,"['雞腿', '紹興酒', '當歸', '川芎', '枸杞', '黑棗']"
16559,3,"['龍膽石斑', '蔥']"
16565,1,"['番茄', '蒜頭']"
16571,1,"['高筋麵粉', '酵母', '洋蔥']"
16575,1,"['豬絞肉', '蒜頭', '糯米', '雞蛋']"
16582,4,"['豬肉', '蔥', '蒜頭', '紹興酒', '太白粉']"
16592,1,['高麗菜']
16596,0,"['雞蛋', '牛奶', '低筋麵粉', '玉米粉', '泡打粉']"
16603,4,"['冬粉', '豬絞肉', '蒜頭', '蔥', '薑']"
16608,2,"['雞腿', '洋蔥', '蒜頭', '蔥', '薑', '蘋果', '泡菜', '香蒜粒']"
16610,4,"['白飯', '雞蛋', '蔥', '蒜頭', '里肌肉']"
16611,1,"['干貝', '蒜頭', '火腿', '蝦子', '紹興酒']"
16619,1,"['洋蔥', '番茄']"
16634,1,['紅蘿蔔']
16636,4,"['蔥', '蒜頭', '高麗菜', '豬五花肉']"
16641,3,"['雞腿', '紹興酒', '鰹魚片']"
16650,2,"['絲瓜', '蔥', '薑', '蒜頭', '蛤蜊', '紹興酒']"
16651,1,"['菠菜', '蒜頭']"
16653,4,"['豬五花肉', '紹興酒', '蒜頭', '薑', '蔥']"
16654,2,"['豬絞肉', '黃瓜', '紹興酒', '蔥', '紅蘿蔔', '薑']"
16659,3,"['臘腸', '馬鈴薯', '雞蛋', '白酒']"
16664,0,"['義大利麵', '培根', '蘑菇', '鮮奶油', '起司']"
